guid;name;alpha2;alpha3;numCode
c60ba9df-b186-3509-3eb0-249d33b03d30;Испания;ES;ESP;724
e446dc62-efc1-46c0-a6de-c892cfb24bf5;Южный Судан;SS;SSD;728
decfa417-3a10-463e-90ff-02841acf2b6e;Западная Сахара;EH;ESH;732
24380883-c83e-fafd-bc9e-8f9043fe09be;Судан;SD;SDN;736
583931cd-257d-6b60-a4a0-37daf8ab1123;Суринам;SR;SUR;740
83d44bcd-a7b0-4b36-b966-23ea81425f91;Шпицберген и Ян Майен;SJ;SJM;744
96c4385f-11f1-ea25-b911-280535c88670;Свазиленд;SZ;SWZ;748
a5e4141a-d06e-1ec3-faa4-7284efa7d10f;Швеция;SE;SWE;752
c9117f27-fdbb-7be5-909e-5900363cb962;Швейцария;CH;CHE;756
d3567a62-6759-1517-7ce6-43eff383c438;Сирийская Арабская Республика;SY;SYR;760
9190f2ab-12b8-5f0a-083a-19b7b97debc5;Таджикистан;TJ;TJK;762
7740ab19-4444-59a8-8558-af0cecfb3b8c;Таиланд;TH;THA;764
de25446a-de36-2473-5341-d5d449ccf28d;Того;TG;TGO;768
11dc3f27-465b-a30a-bd2c-335735257fc3;Токелау;TK;TKL;772
2d559ec6-7c9f-db98-8975-1a52df07e91b;Тонга;TO;TON;776
51d1a88f-aad2-d622-f9a2-5a24b1e72667;Тринидад и Тобаго;TT;TTO;780
0cec5623-8755-d3a8-0a12-8f9dc2f4e44d;Объединенные Арабские Эмираты;AE;ARE;784
0277f80e-8531-d56e-db5d-4fedc9f4a6d3;Тунис;TN;TUN;788
1806d15f-efb2-bb70-642a-102fca05de91;Турция;TR;TUR;792
46097f60-4ac4-e204-0ba1-a1cd00740e1e;Туркмения;TM;TKM;795
e1b6e9b0-5bb7-3055-5358-cc111716b8bf;Острова Теркс и Кайкос;TC;TCA;796
2992d4b8-f14e-251c-6042-2e3805fc5c7c;Тувалу;TV;TUV;798
cbf0545d-aafb-fefc-9884-5befaff3b314;Уганда;UG;UGA;800
a03a8415-d84b-4d96-04b8-1ecf2411069f;Украина;UA;UKR;804
b5e0dc53-37e1-5420-a92f-b972c57f77eb;Республика Македония;MK;MKD;807
d673fd5e-efc5-d9dd-3a11-52807012b344;Египет;EG;EGY;818
0dd215aa-c8d8-e3bc-323d-9d0f0bc19542;Соединенное Королевство;GB;GBR;826
842d20be-3cd2-49bd-9366-a139223ca92b;Гернси;GG;GGY;831
e89332ff-c36a-4363-bf78-317535da19e5;Джерси;JE;JEY;832
c9e30825-4052-42f0-a3f4-3a1023aecd0f;Остров Мэн;IM;IMN;833
2efd8eec-5db1-d078-ba3a-114d8efa43bd;Танзания, Объединенная Республика;TZ;TZA;834
cac8a802-3c65-397d-895d-c0495bf6ea61;Соединенные Штаты Америки;US;USA;840
3dda60e2-9c9a-f5b1-e547-8728c21c5c17;Виргинские острова, США;VI;VIR;850
21576e95-da37-610f-6074-b09dffba4947;Буркина-Фасо;BF;BFA;854
43244980-4e6b-5e2f-6810-87aaef16c239;Уругвай;UY;URY;858
198e41ce-5adc-b396-20cd-365bb6633bee;Узбекистан;UZ;UZB;860
cd9ac6a1-e044-12b5-f784-e3e6d3552c84;Венесуэла Боливарианская, Республика;VE;VEN;862
15c89e36-ad2e-e447-74ad-c3feaa2a8fba;Уоллис и Футуна;WF;WLF;876
6d9aa77d-ae26-f01e-e1c3-88aa8771d57e;Самоа;WS;WSM;882
d701ccb0-b048-cdeb-7767-5cca590c2504;Йемен;YE;YEM;887
2e863349-3e61-5c06-58cd-1c274d8ecae9;Замбия;ZM;ZMB;894
c04b237c-c00c-af9b-92f0-9eeb76b64544;Абхазия;AB;ABH;895
006d9a3b-71fa-f101-6cf9-481788b24055;Южная Осетия;OS;OST;896
